Unique_Investment_Identifier,Business_Case_ID,Agency_Code,Agency_Name,Investment_Title,Project_ID,Project_Name,Start_Date,Cost_Variance,PlannedCost,Updated_Date,Planned_Duration,Project_delay,Start_days_after_2000
007-000004122,924,7,Department of Defense,Electronic Health Record Way Ahead,3147,Operations and Sustainment,2012-04-18,0.0,2.862,34,165.0,0.0,4491
007-000001640,1115,7,Department of Defense,RESERVE COMPONENT AUTOMATION SYSTEM,2657,Reserve Component Automation System (RCAS) Infrastructure Refresh.,2011-10-01,0.0,41.248,100,365.0,0.0,4291
007-000001640,1115,7,Department of Defense,RESERVE COMPONENT AUTOMATION SYSTEM,2658,Reserve Component Automation System (RCAS) Lifecycle Software Sustainment.,2011-10-01,0.0,41.487,158,365.0,0.0,4291
007-000001667,1116,7,Department of Defense,Integrated Data Environment/Global Transportation Network Convergence,2659,Transportation Tracking Number (TTN),2009-06-01,0.0,1.35,877,1217.0,0.0,3439
007-000005090,1118,7,Department of Defense,DLA Enterprise Business System,2693,DLA Enterprise Business System,2000-09-30,0.0,11.541,4139,4383.0,1741.0,273
007-000006040,1119,7,Department of Defense,ARMY ACCESSIONS - INTEGRATED AUTOMATION ARCHITECTURE,2694,FY 12 tech refresh,2011-10-01,0.0,7.641,121,365.0,0.0,4291
007-000001372,1122,7,Department of Defense,NAVY TACTICAL COMMAND SUPPORT SYSTEM,2654,Naval Tactical Command Support System (NTCSS),1992-12-21,0.0,39.029,7157,7953.0,2649.0,-2567
007-000001699,1123,7,Department of Defense,SHIPBOARD MANAGEMENT INFORMATION SYSTEM,2660,SMIS FY12 Technology Refresh and Deployment,2011-10-03,0.0,4.9,100,361.0,0.0,4293
007-000001699,1123,7,Department of Defense,SHIPBOARD MANAGEMENT INFORMATION SYSTEM,2661,Entered in error,2011-11-01,4.0,4.0,114,332.0,-302.0,4322
007-000000573,1124,7,Department of Defense,DEFENSE CIVILIAN PERSONNEL DATA SYSTEM,2629,DoD Demilitarized Zone Extension,2011-05-11,0.0,0.6,168,488.0,20.0,4148
018-999993200,803,18,Department of Education,Budget Formulation and Execution Line of Business (BFE),1337,BFELoB,2011-08-01,-0.002269,1.145,360,365.0,0.0,4230
018-000001040,804,18,Department of Education,Integrated Support Service (ISS),1360,FY12 Maintenance,2012-07-16,0.149,0.5,10,123.0,0.0,4580
018-000002280,806,18,Department of Education,Integrated Postsecondary Education Data System (IPEDS),1354,2011-12 Collection Task 3: Web Based Data Collection Software,2011-06-01,0.001368,0.772212,421,457.0,0.0,4169
018-000002280,806,18,Department of Education,Integrated Postsecondary Education Data System (IPEDS),1355,2011-12 Collection Task 8: Data Dissemination System and Web Tools,2011-06-01,0.007488,0.509041,449,487.0,61.0,4169
018-000002280,806,18,Department of Education,Integrated Postsecondary Education Data System (IPEDS),1356,2011-12 Collection Option Task 1: Table Generator,2011-09-01,0.002353,0.318338,329,365.0,0.0,4261
018-000002280,806,18,Department of Education,Integrated Postsecondary Education Data System (IPEDS),1357,2012-13 Collection Task 3: Web Based Data Collection Software,2012-06-01,0.0,0.584403,55,121.0,335.0,4535
018-000002280,806,18,Department of Education,Integrated Postsecondary Education Data System (IPEDS),1358,2012-13 Collection Task 6: Help Desk Application Software,2012-06-01,0.0,0.040479,83,91.0,30.0,4535
018-000002280,806,18,Department of Education,Integrated Postsecondary Education Data System (IPEDS),1359,2012-13 Collection Task 8: Data Dissemination System and Web Tools,2012-06-01,0.0,0.159173,55,121.0,426.0,4535
018-000001060,810,18,Department of Education,Federal Student Aid Financial Management System (FSA FMS),1345,FY 11 Closeout,2010-10-01,0.087,6.655,516,425.0,0.0,3926
018-999991341,811,18,Department of Education,G5 - Grants Management (G5),1352,FY12 Security,2011-10-01,0.0,0.009,234,365.0,0.0,4291
018-000001031,818,18,Department of Education,Education Resources Information Center (ERIC),1342,"ERIC Systems Development, Modernization, and Enhancements",2011-10-01,0.1,0.27,234,365.0,0.0,4291
018-000001031,818,18,Department of Education,Education Resources Information Center (ERIC),1343,ERIC Systems Maintenance,2011-10-01,-11.305,0.971,269,365.0,0.0,4291
018-000001070,821,18,Department of Education,Contracts and Purchasing Support System (CPSS),1587,Maintenance,2011-10-01,0.0,0.325712,299,365.0,0.0,4291
018-000003133,845,18,Department of Education,National Student Loan Database System (NSLDS),1629,Enrollment Reengineering and GE Data Collection,2011-10-03,0.0,1.173,326,284.0,0.0,4293
018-000003133,845,18,Department of Education,National Student Loan Database System (NSLDS),1630,AIMS Implementation,2011-08-02,0.002,0.241,181,140.0,42.0,4231
018-000003133,845,18,Department of Education,National Student Loan Database System (NSLDS),1631,Not For Profit Data Providers,2011-07-15,0.012,0.036,290,215.0,320.0,4213
018-000003133,845,18,Department of Education,National Student Loan Database System (NSLDS),1632,Data Provider Onboarding,2011-09-26,0.052,0.404,333,249.0,24.0,4286
018-000003133,845,18,Department of Education,National Student Loan Database System (NSLDS),1635,New Regulatory Metrics,2011-04-25,-0.499,2.03,430,600.0,0.0,4132
018-000003133,845,18,Department of Education,National Student Loan Database System (NSLDS),1636,Tech Assessment,2011-09-26,0.028,0.051,276,278.0,62.0,4286
018-000003133,845,18,Department of Education,National Student Loan Database System (NSLDS),3185,GEMS,2012-05-01,0.0,0.45,115,152.0,92.0,4504
018-000003116,849,18,Department of Education,Central Processing System (CPS),1609,CY 6 CPS annual release,2011-02-01,0.109524,2.632703,567,515.0,0.0,4049
018-000002370,873,18,Department of Education,Aid Data Mart (ADM) (formerly know as FPDM),1349,Data Mart Enhancements,2011-09-12,0.0,0.136,290,109.0,0.0,4272
018-000003117,884,18,Department of Education,eCampus Based System,1374,eCB System - Option Year 4 - FY'11 Closeout,2011-01-01,0.06953,1.93,542,455.0,0.0,4018
018-000003203,946,18,Department of Education,Common Origination and Disbursement (COD),1611,New Award Year Setup Release 11.0,2011-04-01,-0.001,6.214,452,371.0,63.0,4108
018-000003203,946,18,Department of Education,Common Origination and Disbursement (COD),1612,New Award Year Release 11.0 System Enhancements,2011-04-04,0.0,2.5,449,333.0,19.0,4111
018-000006011,1083,18,Department of Education,Information Assurance Enhancement/Cyber Watch,1353,IA Enhancement /Cyber Watch,2011-10-03,0.0,1.127,323,363.0,1825.0,4293
019-000000122,559,19,Department of Energy,CF iManage,1412,STRIPES:  Western Deployment,2011-10-11,0.0013599999999999999,0.006,135,28.0,0.0,4301
019-000000122,559,19,Department of Energy,CF iManage,1413,STRIPES:  Labor Intensive Processes,2011-10-03,-7.7e-05,0.0035,143,149.0,0.0,4293
019-000000122,559,19,Department of Energy,CF iManage,1414,STRIPES:  Integration with the Office of Science Portfolio Analysis Management System (PAMS),2012-02-01,0.0,0.004,86,211.0,0.0,4414
019-000000122,559,19,Department of Energy,CF iManage,1416,CHRIS: PeopleSoft 9.1 Transition,2011-10-03,0.0,0.6286,240,212.0,0.0,4293
019-000000122,559,19,Department of Energy,CF iManage,1417,Q1/Q2 Spinout - IDW/iPortal,2011-10-01,0.0105,0.181,209,182.0,0.0,4291
019-000000122,559,19,Department of Energy,CF iManage,1418,Q3/Q4 Spinout - IDW/iPortal,2012-04-01,0.002,0.141,149,182.0,0.0,4474
019-000000122,559,19,Department of Energy,CF iManage,1419,Data Mart Usability,2011-11-15,0.0,0.24,258,320.0,0.0,4336
019-000000122,559,19,Department of Energy,CF iManage,1420,11g Upgrade,2012-01-01,0.0215,0.08,211,181.0,0.0,4383
019-000000122,559,19,Department of Energy,CF iManage,2921,FY 2012 SW License costs,2011-10-01,-0.004068,2.981,242,365.0,0.0,4291
019-000001183,560,19,Department of Energy,"Consolidated Infrastructure, Office Automation, and Telecommunications Program",1731,Data Center Modernizations,2012-01-01,0.0,1.5,150,365.0,0.0,4383
019-000001183,560,19,Department of Energy,"Consolidated Infrastructure, Office Automation, and Telecommunications Program",1734,"FY2012 DME Milestones, FY2012 DME Milestone Activities",2011-10-01,0.0,44.690208,27,365.0,0.0,4291
019-000001183,560,19,Department of Energy,"Consolidated Infrastructure, Office Automation, and Telecommunications Program",1735,"FY2012 SS Milestones, FY2012 SS Milestone Activities",2011-10-01,0.0,912.329792,27,365.0,0.0,4291
019-000001183,560,19,Department of Energy,"Consolidated Infrastructure, Office Automation, and Telecommunications Program",1736,ITSM to the Cloud,2012-01-01,0.0,0.65,116,273.0,0.0,4383
019-000001183,560,19,Department of Energy,"Consolidated Infrastructure, Office Automation, and Telecommunications Program",1737,Unified Communications and Collaboration (UCC),2011-07-01,-0.007729000000000001,1.064,395,472.0,0.0,4199
019-000001183,560,19,Department of Energy,"Consolidated Infrastructure, Office Automation, and Telecommunications Program",2925,Virtual Desktop Infrastructure,2011-12-31,0.0,0.805,180,121.0,0.0,4382
019-000000153,562,19,Department of Energy,EE State Grant Administration,2738,PAGE Maintenance (FY 2012),2011-10-01,0.0,0.360978,303,365.0,0.0,4291
019-000000208,564,19,Department of Energy,"EM HQ Integrated Planning, Accountability, and Budgeting System Information System (IPABS-IS)",1435,Dashboard,2011-10-01,0.0,0.257,149,365.0,0.0,4291
019-000000208,564,19,Department of Energy,"EM HQ Integrated Planning, Accountability, and Budgeting System Information System (IPABS-IS)",1436,PEM,2011-10-01,0.0,0.855,149,365.0,0.0,4291
019-000000208,564,19,Department of Energy,"EM HQ Integrated Planning, Accountability, and Budgeting System Information System (IPABS-IS)",1438,Upgrades,2011-10-01,0.0,1.163,149,365.0,0.0,4291
019-000000208,564,19,Department of Energy,"EM HQ Integrated Planning, Accountability, and Budgeting System Information System (IPABS-IS)",1439,Web Application Refresh,2011-10-01,0.0,0.171,149,273.0,0.0,4291
019-000000577,573,19,Department of Energy,NNSA Enterprise Secure Network (ESN),1411,FY12 NNSA Network Vision,2011-10-01,0.0,14.2664,303,365.0,0.0,4291
019-000000731,575,19,Department of Energy,NNSA Y12 ERP,1408,FY2012 Steady State System Support,2011-10-01,0.0,8.344,242,365.0,0.0,4291
019-000000971,579,19,Department of Energy,RL - BMS Site Wide Business Management System,2923,FY2012 HCM PeopleSoft People tools upgrade,2011-01-02,0.02,0.05,453,453.0,0.0,4019
019-000000976,580,19,Department of Energy,RL - Records Management,1441,Electronic medical Record (EMR) system implementation,2010-10-01,0.0,0.125,511,730.0,0.0,3926
019-000000976,580,19,Department of Energy,RL - Records Management,1442,Maintnance of systems used for medical records,2011-10-01,0.0,0.0336,146,365.0,0.0,4291
019-000001122,583,19,Department of Energy,"SR Contractor Business/Financial and Administrative Systems, CB/FAS (SR Contractor Business and Administrative (CBA) Systems)",1446,Maintenance and Production Support - FY 2012,2011-10-01,-0.198706,9.538388000000001,304,365.0,0.0,4291
019-000001122,583,19,Department of Energy,"SR Contractor Business/Financial and Administrative Systems, CB/FAS (SR Contractor Business and Administrative (CBA) Systems)",1448,Apply Oracle security Patches and COTs application patches - FY 2012,2011-10-01,-8e-06,0.06,304,365.0,0.0,4291
019-000001131,584,19,Department of Energy,SR Mission Support Systems,1449,Maintenance and Production Support-FY12 Contractor,2011-10-01,1.52775,32.38812,272,365.0,0.0,4291
019-000001131,584,19,Department of Energy,SR Mission Support Systems,1450,Maintenance and Production Support-FY12-Govt,2011-10-01,0.0,0.0688,242,365.0,0.0,4291
019-000001131,584,19,Department of Energy,SR Mission Support Systems,1451,Maintenance and Production Support-FY12 Facilities Support,2011-10-01,0.32622399999999996,4.70953,242,365.0,0.0,4291
019-000001131,584,19,Department of Energy,SR Mission Support Systems,1452,Asset Suite Work Package Upgrade,2011-10-01,0.004272,0.208,242,365.0,0.0,4291
019-000000570,860,19,Department of Energy,NETL Simulation-Based Engineering User Center (SBEUC),1431,SBEUC,2010-09-10,0.045826,16.966566,718,693.0,833.0,3905
019-000000573,861,19,Department of Energy,NNSA ASC ACES Cielo Platform,1406,FY12 Gov FTE,2011-10-01,0.0,0.05,332,365.0,0.0,4291
019-000000134,1075,19,Department of Energy,"Identity, Credential, and Access Management (ICAM)",1423,EIA ICAM Implementation,2012-01-01,0.0,0.0041,88,60.0,0.0,4383
019-000000134,1075,19,Department of Energy,"Identity, Credential, and Access Management (ICAM)",1427,Back End Infrastructure,2011-10-01,0.0,0.248,332,365.0,0.0,4291
019-000000134,1075,19,Department of Energy,"Identity, Credential, and Access Management (ICAM)",1428,SC Card Issuance and Maintenance,2011-10-01,0.0013460000000000002,0.05,332,365.0,0.0,4291
019-000000134,1075,19,Department of Energy,"Identity, Credential, and Access Management (ICAM)",1429,SC Logical Access Controls Systems,2011-10-01,0.0,0.33,332,365.0,0.0,4291
019-000000134,1075,19,Department of Energy,"Identity, Credential, and Access Management (ICAM)",1430,SC Physical Security Access Controls Systems,2011-10-01,0.0,0.02,303,365.0,0.0,4291
009-000001422,184,9,Department of Health and Human Services,ACF Expanded Federal Parent Locator Service (OCSE),2207,Passport Denial Online Enhancements,2011-07-05,0.001,0.042,296,94.0,0.0,4203
009-000001422,184,9,Department of Health and Human Services,ACF Expanded Federal Parent Locator Service (OCSE),2208,Debt Inquiry Enhancements,2011-10-10,0.002,0.11,199,102.0,0.0,4300
009-000001422,184,9,Department of Health and Human Services,ACF Expanded Federal Parent Locator Service (OCSE),2211,NDNH Employer Address to Relational Database,2011-04-27,0.028,0.332,453,443.0,0.0,4134
009-000001422,184,9,Department of Health and Human Services,ACF Expanded Federal Parent Locator Service (OCSE),2212,DoD Entitlements Interface,2010-12-15,-0.001,0.315,498,226.0,0.0,4001
009-000001422,184,9,Department of Health and Human Services,ACF Expanded Federal Parent Locator Service (OCSE),2213,MICRS Release 12.01,2011-08-22,-0.001,0.3,274,189.0,4.0,4251
009-000001422,184,9,Department of Health and Human Services,ACF Expanded Federal Parent Locator Service (OCSE),2217,FSF Portal PIV Card Implementation,2011-09-06,0.0,0.177,233,129.0,0.0,4266
009-000001422,184,9,Department of Health and Human Services,ACF Expanded Federal Parent Locator Service (OCSE),2218,Debt Inquiry Development,2010-12-13,0.001,0.343,500,217.0,0.0,3999
009-000001386,257,9,Department of Health and Human Services,CDC OID NCIRD Vaccine Tracking System (VTrckS),2012,VTrckS - Release 2,2011-06-13,0.136,6.05,381,292.0,0.0,4181
009-000001378,262,9,Department of Health and Human Services,CDC PHIN: National Electronic Disease Surveillance System,2005,NEDSS - Core National Notifiable Diseases Data Provisioning to CDC Programs,2010-12-21,-0.355,2.4,583,1054.0,0.0,4007
009-000001378,262,9,Department of Health and Human Services,CDC PHIN: National Electronic Disease Surveillance System,2006,NEDSS - Base System Development,2010-12-21,0.172,1.585,583,639.0,375.0,4007
009-000001465,274,9,Department of Health and Human Services,CMS Health Care Quality Improvement System (QIES),2022,QIES CLIA Online Accounting,2011-07-27,0.02,1.0,274,157.0,0.0,4225
009-000001468,275,9,Department of Health and Human Services,CMS Healthcare Integrated General Ledger Accounting System (HIGLAS),2025,HIGLAS Administrative Program Accounting,2011-02-01,-0.45,16.983,538,424.0,61.0,4049
009-000001468,275,9,Department of Health and Human Services,CMS Healthcare Integrated General Ledger Accounting System (HIGLAS),2026,HIGLAS Project Management Support,2011-04-01,0.0,6.0,391,365.0,0.0,4108
009-000001468,275,9,Department of Health and Human Services,CMS Healthcare Integrated General Ledger Accounting System (HIGLAS),2027,HIGLAS MAC Transitions,2011-06-25,0.408,7.335,394,363.0,0.0,4193
009-000004611,281,9,Department of Health and Human Services,CMS Interoperability & Standardization - Provider Enrollment (PECOS),2029,PECOS FY 2012 3rd Quarter Release,2012-01-17,-0.064,2.41,188,195.0,0.0,4399
009-000004611,281,9,Department of Health and Human Services,CMS Interoperability & Standardization - Provider Enrollment (PECOS),2030,PECOS FY 2012 1st Quarter Release,2011-07-18,0.341,2.641,283,196.0,14.0,4216
009-000004611,281,9,Department of Health and Human Services,CMS Interoperability & Standardization - Provider Enrollment (PECOS),2031,PECOS FY 2012 2nd Quarter Release,2011-10-17,0.251,2.678,255,196.0,0.0,4307
009-000004611,281,9,Department of Health and Human Services,CMS Interoperability & Standardization - Provider Enrollment (PECOS),2033,PECOS FY 2011 4th Quarter Release,2011-04-18,0.024,2.412,374,172.0,0.0,4125
009-000002454,285,9,Department of Health and Human Services,CMS Medicare Appeals System (MAS),2131,MAS 508 Conformance Phase 1,2010-09-01,0.0,0.491,629,364.0,0.0,3896
009-000002454,285,9,Department of Health and Human Services,CMS Medicare Appeals System (MAS),2132,MAS Level 3 Task Based User Interface Phase 1,2010-09-27,0.002,0.193,577,491.0,0.0,3922
009-000002454,285,9,Department of Health and Human Services,CMS Medicare Appeals System (MAS),2135,MAS eCase File Enhancements Phase 1,2010-09-27,0.008,0.506,640,491.0,21.0,3922
009-000002454,285,9,Department of Health and Human Services,CMS Medicare Appeals System (MAS),2136,MAS eCase File Enhancements Phase 2,2011-08-20,-0.075,0.43,338,365.0,0.0,4249
009-000002454,285,9,Department of Health and Human Services,CMS Medicare Appeals System (MAS),2137,MAS Correspondence Letter Writing System,2011-09-30,0.339,1.163,297,274.0,91.0,4290
009-000005234,287,9,Department of Health and Human Services,CMS Medicare Integrity Program Modernization-One PI System,2036,SGS Development 2011,2011-01-03,-0.009,0.6,479,322.0,131.0,4020
009-000005318,299,9,Department of Health and Human Services,FDA ORA Automated Laboratory Management,2168,FDA ORA ALM Laboratory Information Management System (LIMS) Proof of Concept,2009-10-01,0.008,0.334,876,729.0,0.0,3561
009-000005318,299,9,Department of Health and Human Services,FDA ORA Automated Laboratory Management,2171,FDA ORA ALM Electronic Laboratory Exchange Network (eLEXNET) Support 1,2010-07-22,0.126,1.644,582,538.0,0.0,3855
009-000005318,299,9,Department of Health and Human Services,FDA ORA Automated Laboratory Management,2173,FDA ORA ALM Quality Management Information System (QMiS) Support 1,2009-07-01,0.038,0.786,968,786.0,0.0,3469
009-000005317,310,9,Department of Health and Human Services,FDA ORA Mission Accomplishments and Regulatory Compliance Services,2150,FDA ORA MARCS Program Management and Technical Integration (PMTI),2010-09-08,-0.122,5.192,533,364.0,0.0,3903
009-000005317,310,9,Department of Health and Human Services,FDA ORA Mission Accomplishments and Regulatory Compliance Services,2151,FDA ORA MARCS Food Safety Modernization Act (FSMA),2011-06-15,-0.002,0.116,253,76.0,1.0,4183
009-000005317,310,9,Department of Health and Human Services,FDA ORA Mission Accomplishments and Regulatory Compliance Services,2152,"FDA ORA MARCS Authorization, Roles, and Responsibilities Management Services (ARRMS) 2",2010-09-27,0.014,1.359,514,307.0,0.0,3922
009-000005317,310,9,Department of Health and Human Services,FDA ORA Mission Accomplishments and Regulatory Compliance Services,2154,FDA ORA MARCS Entry Manager (EM),2010-09-27,-1.885,2.248,514,417.0,0.0,3922
009-000005317,310,9,Department of Health and Human Services,FDA ORA Mission Accomplishments and Regulatory Compliance Services,2155,FDA ORA MARCS Predictive Risk-based Evaluation and Dynamic Import Compliance Targeting (PREDICT),2010-09-29,-0.024,0.677,512,364.0,0.0,3924
009-000005317,310,9,Department of Health and Human Services,FDA ORA Mission Accomplishments and Regulatory Compliance Services,2156,FDA ORA MARCS Document Generator Services (DGS),2010-09-27,0.004,1.294,514,364.0,44.0,3922
009-000005317,310,9,Department of Health and Human Services,FDA ORA Mission Accomplishments and Regulatory Compliance Services,2157,FDA ORA MARCS Work Assignment and Accomplishment Manager (WAAM) 2,2010-09-27,-0.027,2.742,514,364.0,0.0,3922
009-000005317,310,9,Department of Health and Human Services,FDA ORA Mission Accomplishments and Regulatory Compliance Services,2160,"FDA ORA MARCS Authorization, Roles, and Responsibilities Management Services (ARRMS) 2-Supplemental",2011-08-26,0.073,0.688,181,185.0,0.0,4255
009-000005317,310,9,Department of Health and Human Services,FDA ORA Mission Accomplishments and Regulatory Compliance Services,2167,FDA ORA MARCS Software Acquisition for Oracle Technologies,2011-08-04,0.0,4.856,203,57.0,0.0,4233
009-000005316,318,9,Department of Health and Human Services,FDA ORA Regulatory Business Information Services,2038,FDA ORA RBIS Center and External Integration,2011-07-18,0.025,0.507,371,318.0,0.0,4216
009-000005316,318,9,Department of Health and Human Services,FDA ORA Regulatory Business Information Services,2039,"FDA ORA RBIS Data Warehouse, Data Marts, and Universes",2011-06-02,0.014,0.584,329,144.0,7.0,4170
009-000005316,318,9,Department of Health and Human Services,FDA ORA Regulatory Business Information Services,2040,FDA ORA RBIS Firm Master List Services (FMLS) Enhancements,2011-08-15,-0.023,0.316,255,289.0,0.0,4244
009-000005316,318,9,Department of Health and Human Services,FDA ORA Regulatory Business Information Services,2041,FDA ORA RBIS Report Development Support,2011-09-12,-1.506,2.085,315,365.0,0.0,4272
009-000005316,318,9,Department of Health and Human Services,FDA ORA Regulatory Business Information Services,2042,FDA ORA RBIS Data Evaluation and Recommendations,2011-09-12,-0.028,0.275,290,231.0,0.0,4272
009-999991400,330,9,Department of Health and Human Services,Federal Health Architecture,2197,Federal Health Architecture Implementation,2004-04-30,0.165,7.71,3006,3075.0,730.0,1581
009-000000706,333,9,Department of Health and Human Services,HRSA - OIT Electronic Handbooks (EHBs),2087,EHB - Awards Streamlining,2011-03-16,0.0,0.075,407,76.0,0.0,4092
009-000000706,333,9,Department of Health and Human Services,HRSA - OIT Electronic Handbooks (EHBs),2088,EHB - UI Upgrade Phase II,2011-05-27,-0.254,4.56,423,475.0,15.0,4164
009-000000706,333,9,Department of Health and Human Services,HRSA - OIT Electronic Handbooks (EHBs),2089,EHB - Applications CCR Validation,2012-01-05,-0.055,0.26,200,147.0,29.0,4387
009-000000706,333,9,Department of Health and Human Services,HRSA - OIT Electronic Handbooks (EHBs),2090,EHB - Planning Module Upgrade,2012-02-01,-0.235,0.44,173,212.0,0.0,4414
009-000000706,333,9,Department of Health and Human Services,HRSA - OIT Electronic Handbooks (EHBs),2092,EHB - Closeout Module Upgrade Phase II,2012-05-01,0.346,0.454,83,152.0,0.0,4504
009-000000706,333,9,Department of Health and Human Services,HRSA - OIT Electronic Handbooks (EHBs),2093,EHB - Loans - LDF,2011-02-16,0.0,0.93,435,55.0,0.0,4064
009-000000706,333,9,Department of Health and Human Services,HRSA - OIT Electronic Handbooks (EHBs),2094,EHB - Loans - L-AOR,2011-04-13,0.0,0.93,379,76.0,0.0,4120
009-000000706,333,9,Department of Health and Human Services,HRSA - OIT Electronic Handbooks (EHBs),2095,EHB - Loans - L-PCLA,2011-07-08,0.0,0.394,293,74.0,0.0,4206
009-000000706,333,9,Department of Health and Human Services,HRSA - OIT Electronic Handbooks (EHBs),2096,EHB - Nurse Faculty Loan Program - ACA Support in the Formula module,2011-02-14,0.394,1.2,437,57.0,0.0,4062
009-000000706,333,9,Department of Health and Human Services,HRSA - OIT Electronic Handbooks (EHBs),2097,EHB - Nurse Faculty Loan Program - ACA Support in the AOR module,2011-04-22,0.0,0.051,370,67.0,0.0,4129
009-000000706,333,9,Department of Health and Human Services,HRSA - OIT Electronic Handbooks (EHBs),2098,EHB - BPMS - Release FY 2011,2010-12-10,0.0,0.253,529,199.0,0.0,3996
009-000000706,333,9,Department of Health and Human Services,HRSA - OIT Electronic Handbooks (EHBs),2099,EHB - BPMS - Standalone Modules,2010-09-15,0.0,0.253,615,356.0,0.0,3910
009-000000706,333,9,Department of Health and Human Services,HRSA - OIT Electronic Handbooks (EHBs),2100,EHB - Loans and Scholarships 2012,2011-03-30,-0.159,0.575,481,520.0,0.0,4106
009-000000706,333,9,Department of Health and Human Services,HRSA - OIT Electronic Handbooks (EHBs),2101,EHB - BHPR Data Report,2011-10-03,-0.265,1.6,294,241.0,18.0,4293
009-000000706,333,9,Department of Health and Human Services,HRSA - OIT Electronic Handbooks (EHBs),2102,EHB - CHGME - Formula module (CHGME - PAS),2011-02-23,0.0,0.823,428,174.0,0.0,4071
009-000000706,333,9,Department of Health and Human Services,HRSA - OIT Electronic Handbooks (EHBs),2103,EHB - CHGME - Application module (CHGME - HAS),2011-02-23,0.0,0.332,428,127.0,62.0,4071
009-000000706,333,9,Department of Health and Human Services,HRSA - OIT Electronic Handbooks (EHBs),2104,EHB - RDR - January 2011 Release (RDR 2010),2010-09-15,0.032,0.037,589,191.0,0.0,3910
009-000000706,333,9,Department of Health and Human Services,HRSA - OIT Electronic Handbooks (EHBs),2105,EHB - RSR - January 2011 Release (RSR 2010),2010-09-15,0.346,0.497,589,110.0,0.0,3910
009-000000706,333,9,Department of Health and Human Services,HRSA - OIT Electronic Handbooks (EHBs),2106,EHB - RSR - January 2012 Release (RSR 2011),2010-09-15,0.547,0.628,589,362.0,0.0,3910
009-000000706,333,9,Department of Health and Human Services,HRSA - OIT Electronic Handbooks (EHBs),2107,EHB - ADAP JANUARY 2011 RELEASE,2010-10-01,-0.001,0.028,573,94.0,0.0,3926
009-000000706,333,9,Department of Health and Human Services,HRSA - OIT Electronic Handbooks (EHBs),2108,EHB - ADR - January 2012 Release,2011-10-03,-0.024,0.06,206,120.0,3.0,4293
009-000000706,333,9,Department of Health and Human Services,HRSA - OIT Electronic Handbooks (EHBs),2109,EHB - ADAP Client-level Phase I,2010-09-15,-0.007,0.08,589,362.0,2.0,3910
009-000000706,333,9,Department of Health and Human Services,HRSA - OIT Electronic Handbooks (EHBs),2110,EHB - AETC Web Application FY 11 Release,2010-09-15,0.0,0.079,589,302.0,0.0,3910
009-000000706,333,9,Department of Health and Human Services,HRSA - OIT Electronic Handbooks (EHBs),2111,EHB - DGIS Data Entry 2011,2010-09-15,0.025,0.364,589,364.0,0.0,3910
009-000000706,333,9,Department of Health and Human Services,HRSA - OIT Electronic Handbooks (EHBs),2112,EHB - DGIS Data Entry 2012,2012-03-01,-0.121,0.208,144,184.0,27.0,4443
009-000000706,333,9,Department of Health and Human Services,HRSA - OIT Electronic Handbooks (EHBs),2113,EHB - TVIS Web Reports 2011,2010-09-15,0.009,0.066,589,44.0,0.0,3910
009-000000706,333,9,Department of Health and Human Services,HRSA - OIT Electronic Handbooks (EHBs),2114,EHB - TVIS Web Reports 2012,2011-09-19,0.08,0.096,220,42.0,30.0,4279
009-000000706,333,9,Department of Health and Human Services,HRSA - OIT Electronic Handbooks (EHBs),2115,EHB - TVIS Data Entry 2012,2010-10-22,0.136,0.198,552,160.0,0.0,3947
009-000000706,333,9,Department of Health and Human Services,HRSA - OIT Electronic Handbooks (EHBs),2116,EHB - OHRP PIMS Data Collection 2011,2010-09-27,-0.332,0.147,577,361.0,0.0,3922
009-000000706,333,9,Department of Health and Human Services,HRSA - OIT Electronic Handbooks (EHBs),2117,EHB - OHRP PIMS Data Collection 2012,2011-10-27,0.0,0.126,208,161.0,0.0,4317
009-000000706,333,9,Department of Health and Human Services,HRSA - OIT Electronic Handbooks (EHBs),2118,EHB - ADAP JULY 2011 RELEASE,2011-03-01,0.0,0.12,422,122.0,0.0,4077
009-000000706,333,9,Department of Health and Human Services,HRSA - OIT Electronic Handbooks (EHBs),2119,EHB - ADR - July 2012 Release,2012-02-01,0.0,0.142,173,135.0,0.0,4414
009-000000706,333,9,Department of Health and Human Services,HRSA - OIT Electronic Handbooks (EHBs),2120,EHB - AETC Web Application FY 12 Release,2012-01-16,0.0,0.093,189,179.0,0.0,4398
009-000000706,333,9,Department of Health and Human Services,HRSA - OIT Electronic Handbooks (EHBs),3083,EHB - BPMH Release 3,2012-06-01,-2.003,0.473,52,121.0,0.0,4535
009-000000706,333,9,Department of Health and Human Services,HRSA - OIT Electronic Handbooks (EHBs),3085,EHB - Nurse Managed Health Clinics,2012-07-12,0.0,0.18,-51,78.0,0.0,4576
009-000000706,333,9,Department of Health and Human Services,HRSA - OIT Electronic Handbooks (EHBs),3087,EHB - RSR 5.x.2,2012-02-01,-0.009,0.072,173,150.0,0.0,4414
009-000000706,333,9,Department of Health and Human Services,HRSA - OIT Electronic Handbooks (EHBs),3089,EHB - RSR 5.x.3,2012-07-01,0.0,0.169,22,75.0,0.0,4565
009-000000706,333,9,Department of Health and Human Services,HRSA - OIT Electronic Handbooks (EHBs),3091,EHB - ADR - September 2012 Release,2012-06-11,0.072,0.213,42,95.0,0.0,4545
